"id","name","station","direction","position","positionX","positionY","speedindicator","signaltype","type","previous","next","stationid"
60,S04,CUM,true,true,450.0,583.0,true,entrancesignal,6,"0392BTCUM","02MT-oCUM",2
70,S22,CUM,true,true,1183.0,585.0,false,exitsignal,7,"02STCUM",M15CUM,2
50,BS0324,CUM,true,true,114.0,584.0,false,blocksignal,3,"0292BTCUM","0322BTCUM",2
54,BS0364,CUM,true,true,226.0,584.0,false,blocksignal,3,"0322BTCUM","0362BTCUM",2
59,S02,CUM,true,false,450.0,448.0,true,entrancesignal,6,"0391BTCUM","04MT-oCUM",2
91,S02,ARI,true,false,338.0,448.0,true,entrancesignal,6,"0571BTARI","04MT-oARI",3
111,BS0672,ARI,true,false,1728.0,460.0,false,blocksignal,3,"0641BTARI","0671BTARI",3
184,KBS0021,KAS,false,false,-10.0,448.0,true,controlblocksignal,4,"0021BTKAS","",1
75,KBS0471,CUM,false,false,1756.0,448.0,true,controlblocksignal,4,"0471BTCUM","0441BTCUM",2
78,BS0474,CUM,true,true,1812.0,584.0,false,blocksignal,3,"0442BTCUM","0472BTCUM",2
76,KBS0473,CUM,false,true,1756.0,583.0,true,controlblocksignal,4,"0472BTCUM","0442BTCUM",2
163,S2Y1,KAR,true,true,824.0,642.0,false,lowsignal,5,,M16KAR,5
164,S2Y2,KAR,true,true,810.0,705.0,false,lowsignal,5,,M16KAR,5
62,S51,CUM,false,false,838.0,268.0,false,lowsignal,5,"05STCUM",M16CUM,2
178,S03,KAR,false,true,1644.0,583.0,true,entrancesignal,6,"1022BTKAR","03MT-oKAR",5
48,BS0323,CUM,false,true,58.0,584.0,false,blocksignal,3,"0322BTCUM","0292BTCUM",2
56,BS0393,CUM,false,true,282.0,584.0,false,blocksignal,3,"0392BTCUM","0262BTCUM",2
55,BS0391,CUM,false,false,282.0,460.0,false,blocksignal,3,"0391BTCUM","0261BTCUM",2
110,BS0671,ARI,false,false,1672.0,460.0,false,blocksignal,3,"0671BTARI","0641BTARI",3
177,S01,KAR,false,false,1644.0,448.0,true,entrancesignal,6,"1021BTKAR","01MT-oKAR",5
170,S11,KAR,false,true,1001.0,578.0,true,entrancesignal,6,"01STKAR",M18KAR,5
158,BS0973,KAR,false,true,170.0,584.0,false,blocksignal,3,"0972BTKAR","0942BTKAR",5
133,S32,DEM,true,true,610.0,584.0,false,exitsignal,7,"03SSTDEM",M07DEM,4
167,S41,KAR,false,false,963.0,330.0,false,lowsignal,5,"04STKAR",M14KAR,5
130,S41,DEM,false,true,477.0,648.0,false,lowsignal,5,"04STDEM",M08DEM,4
129,S31,DEM,false,true,477.0,584.0,false,exitsignal,7,"03SSTDEM",M08DEM,4
135,S01,DEM,false,false,860.0,448.0,true,entrancesignal,6,"0801BTDEM","01MT-oDEM",4
141,BS0861,DEM,false,false,1084.0,460.0,false,blocksignal,3,"0861BTDEM","0831BTDEM",4
183,KBS0023,KAS,false,true,-10.0,583.0,true,controlblocksignal,4,"0022BTKAS","",1
137,KBS0831,DEM,false,false,972.0,448.0,true,controlblocksignal,4,"0831BTDEM","0801BTDEM",4
31,S22,KAS,true,true,1300.0,584.0,false,exitsignal,7,"02STKAS",M11KAS,1
74,S03,CUM,false,true,1638.0,583.0,true,entrancesignal,6,"0442BTCUM","01MT-oCUM",2
146,BS0883,DEM,false,true,1196.0,584.0,false,blocksignal,3,"0882BTDEM","0862BTDEM",4
145,BS0881,DEM,false,false,1196.0,460.0,false,blocksignal,3,"0881BTDEM","0861BTDEM",4
149,BS0911,DEM,false,false,1308.0,460.0,false,blocksignal,3,"0911BTKAR","0881BTDEM",4
118,BS0733,ARI,false,true,2086.0,584.0,false,blocksignal,3,"0732BTDEM","0702BTARI",3
32,S12,KAS,true,true,1302.0,648.0,false,lowsignal,5,"01STKAS",M11KAS,1
82,BS0504,ARI,true,true,2.0,584.0,false,blocksignal,3,"0472BTCUM","0502BTARI",3
17,KBS0142,KAS,true,false,494.0,448.0,true,controlblocksignal,4,"0111BTKAS","0141BTKAS",1
19,S02,KAS,true,false,606.0,448.0,true,entrancesignal,6,"0141BTKAS","04MT-oKAS",1
152,BS0914,KAR,true,true,2.0,584.0,false,blocksignal,3,"0882BTDEM","0912BTKAR",5
151,BS0912,KAR,true,false,2.0,460.0,false,blocksignal,3,"0881BTDEM","0911BTKAR",5
27,S62,KAS,true,false,1254.0,268.0,false,lowsignal,5,"06STKAS",M15KAS,1
1,BS0022,KAS,true,false,46.0,460.0,false,blocksignal,3,,"0021BTKAS",1
179,KBS1061,KAR,false,false,1756.0,448.0,true,controlblocksignal,4,"1061BTKAR","1021BTKAR",5
36,KBS0233,KAS,false,true,1756.0,583.0,true,controlblocksignal,4,"0232BTKAS","0202BTKAS",1
67,S52,CUM,true,false,1089.0,268.0,false,lowsignal,5,"05STCUM",M19CUM,2
58,KBS0394,CUM,true,true,338.0,583.0,true,controlblocksignal,4,"0362BTCUM","0392BTCUM",2
68,S42,CUM,true,false,1123.0,395.0,false,exitsignal,7,"04STCUM",M19CUM,2
169,S21,KAR,false,false,777.0,460.0,false,exitsignal,7,"02STKAR",M10KAR,5
142,BS0863,DEM,false,true,1084.0,584.0,false,blocksignal,3,"0862BTDEM","0832BTDEM",4
71,S12,CUM,true,true,1212.0,648.0,false,lowsignal,5,"01STCUM",M15CUM,2
57,KBS0392,CUM,true,false,338.0,448.0,true,controlblocksignal,4,"0361BTCUM","0391BTCUM",2
21,S61,KAS,false,false,996.0,268.0,false,lowsignal,5,"06STKAS",M16KAS,1
114,KBS0703,ARI,false,true,1974.0,583.0,true,controlblocksignal,4,"0702BTARI","0672BTARI",3
3,BS0051,KAS,false,false,102.0,460.0,false,blocksignal,3,"0051BTKAS","0021BTKAS",1
90,KBS0574,ARI,true,true,226.0,583.0,true,controlblocksignal,4,"0532BTARI","0572BTARI",3
63,S41,CUM,false,false,808.0,393.0,false,lowsignal,5,"04STCUM",M12CUM,2
89,KBS0572,ARI,true,false,226.0,448.0,true,controlblocksignal,4,"0531BTARI","0571BTARI",3
23,S41,KAS,false,false,973.0,396.0,false,lowsignal,5,"04STKAS",M14KAS,1
72,S05,CUM,false,false,1548.0,384.0,true,entrancesignal,6,"07STCUM","05MT-oCUM",2
73,S01,CUM,false,false,1638.0,448.0,true,entrancesignal,6,"0441BTCUM","03MT-oCUM",2
24,S31,KAS,false,false,950.0,460.0,false,exitsignal,7,"03STKAS",M08KAS,1
79,BS0501,CUM,false,false,1868.0,460.0,false,blocksignal,3,"0501BTARI","0471BTCUM",2
80,BS0503,CUM,false,true,1868.0,584.0,false,blocksignal,3,"0502BTARI","0472BTCUM",2
66,S11,CUM,false,true,790.0,648.0,false,lowsignal,5,"01STCUM",M14CUM,2
2,BS0024,KAS,true,true,46.0,584.0,false,blocksignal,3,,"0022BTKAS",1
64,S31,CUM,false,false,792.0,460.0,false,exitsignal,7,"03STCUM",M08CUM,2
52,BS0363,CUM,false,true,170.0,584.0,false,blocksignal,3,"0362BTCUM","0322BTCUM",2
83,BS0531,ARI,false,false,58.0,460.0,false,blocksignal,3,"0531BTARI","0501BTARI",3
87,BS0571,ARI,false,false,170.0,460.0,false,blocksignal,3,"0571BTARI","0531BTARI",3
112,S03,ARI,false,true,1862.0,584.0,false,entrancesignal,6,"0672BTARI","01MT-oARI",3
103,S51,ARI,false,true,1336.0,648.0,false,entrancesignal,6,"0613BTARI","03MT-oARI",3
86,BS0534,ARI,true,true,114.0,584.0,false,blocksignal,3,"0502BTARI","0532BTARI",3
85,BS0532,ARI,true,false,114.0,460.0,false,blocksignal,3,"0501BTARI","0531BTARI",3
69,S32,CUM,true,false,1203.0,460.0,false,exitsignal,7,"03STCUM",M11CUM,2
28,S52,KAS,true,false,1262.0,332.0,false,lowsignal,5,"05STKAS",M15KAS,1
13,BS0112,KAS,true,false,382.0,460.0,false,blocksignal,3,"0081BTKAS","0111BTKAS",1
11,BS0111,KAS,false,false,326.0,460.0,false,blocksignal,3,"0111BTKAS","0081BTKAS",1
136,S03,DEM,false,true,860.0,583.0,true,entrancesignal,6,"0802BTDEM","03MT-oDEM",4
35,KBS0231,KAS,false,false,1756.0,448.0,true,controlblocksignal,4,"0231BTKAS","0201BTKAS",1
18,KBS0144,KAS,true,true,494.0,583.0,true,controlblocksignal,4,"0112BTKAS","0142BTKAS",1
102,S61,ARI,false,true,1314.0,583.0,true,entrancesignal,6,"0612BTARI","05MT-oARI",3
180,KBS1063,KAR,false,true,1756.0,583.0,true,controlblocksignal,4,"1062BTKAR","1022BTKAR",5
92,S04,ARI,true,true,338.0,583.0,true,entrancesignal,6,"0572BTARI","02MT-oARI",3
160,KBS0974,KAR,true,true,226.0,583.0,true,controlblocksignal,4,"0942BTKAR","0972BTKAR",5
159,KBS0972,KAR,true,false,226.0,448.0,true,controlblocksignal,4,"0941BTKAR","0971BTKAR",5
14,BS0114,KAS,true,true,382.0,584.0,false,blocksignal,3,"0082BTKAS","0112BTKAS",1
123,KBS0762,DEM,true,false,114.0,448.0,true,controlblocksignal,4,"0731BTDEM","0761BTDEM",4
124,KBS0764,DEM,true,true,114.0,583.0,true,controlblocksignal,4,"0732BTDEM","0762BTDEM",4
22,S51,KAS,false,false,998.0,332.0,false,lowsignal,5,"05STKAS",M16KAS,1
29,S42,KAS,true,false,1290.0,396.0,false,lowsignal,5,"04STKAS",M13KAS,1
162,S04,KAR,true,true,338.0,583.0,true,entrancesignal,6,"0972BTKAR","02MT-oKAR",5
101,S01,ARI,false,false,1314.0,460.0,false,entrancesignal,6,"0611BTARI","09MT-oARI",3
122,BS0763,DEM,false,true,58.0,584.0,false,blocksignal,3,"0762BTDEM","0732BTDEM",4
100,S12,ARI,true,true,920.0,648.0,false,exitsignal,7,"01STARI",M19ARI,3
156,BS0944,KAR,true,true,114.0,584.0,false,blocksignal,3,"0912BTKAR","0942BTKAR",5
181,BS1062,KAR,true,false,1812.0,460.0,false,blocksignal,3,"1021BTKAR","1061BTKAR",5
182,BS1064,KAR,true,true,1812.0,584.0,false,blocksignal,3,"1022BTKAR","1062BTKAR",5
120,BS0734,DEM,true,true,2.0,584.0,false,blocksignal,3,"0702BTARI","0732BTDEM",4
132,S22,DEM,true,false,609.0,460.0,false,exitsignal,7,"02STDEM",M05DEM,4
131,S12,DEM,true,false,608.0,396.0,false,lowsignal,5,"01STDEM",M05DEM,4
134,S42,DEM,true,true,608.0,648.0,false,lowsignal,5,"04STDEM",M07DEM,4
148,BS0884,DEM,true,true,1252.0,584.0,false,blocksignal,3,"0862BTDEM","0882BTDEM",4
144,BS0864,DEM,true,true,1140.0,584.0,false,blocksignal,3,"0832BTDEM","0862BTDEM",4
140,BS0834,DEM,true,true,1028.0,584.0,false,blocksignal,3,"0802BTDEM","0832BTDEM",4
143,BS0862,DEM,true,false,1140.0,460.0,false,blocksignal,3,"0831BTDEM","0861BTDEM",4
147,BS0882,DEM,true,false,1252.0,460.0,false,blocksignal,3,"0861BTDEM","0881BTDEM",4
81,BS0502,ARI,true,false,2.0,460.0,false,blocksignal,3,"0471BTCUM","0501BTARI",3
116,BS0704,ARI,true,true,2030.0,584.0,false,blocksignal,3,"0672BTARI","0702BTARI",3
115,BS0702,ARI,true,false,2030.0,460.0,false,blocksignal,3,"0671BTARI","0701BTARI",3
172,S52,KAR,true,false,1264.0,269.0,false,lowsignal,5,"05STKAR",M13KAR,5
173,S42,KAR,true,false,1256.0,332.0,false,lowsignal,5,"04STKAR",M13KAR,5
174,S32,KAR,true,false,1274.0,396.0,false,exitsignal,7,"03STKAR",M11KAR,5
108,S82,ARI,true,true,1705.0,583.0,true,controlblocksignal,4,"0642MT-oARI",M01ARI,3
109,S72,ARI,true,true,1700.0,647.0,true,entrancesignal,4,"0613MT-oARI",M01ARI,3
97,S42,ARI,true,false,904.0,396.0,false,lowsignal,5,"04STARI",M15ARI,3
77,BS0472,CUM,true,false,1812.0,460.0,false,blocksignal,3,"0441BTCUM","0471BTCUM",2
125,S02,DEM,true,false,226.0,448.0,true,entrancesignal,6,"0761BTDEM","02MT-oDEM",4
105,S81,ARI,false,true,1426.0,583.0,true,controlblocksignal,4,"0642BTARI","0612BTARI",3
20,S04,KAS,true,true,606.0,583.0,true,entrancesignal,6,"0142BTKAS","02MT-oKAS",1
5,BS0052,KAS,true,false,158.0,460.0,false,blocksignal,3,"0021BTKAS","0051BTKAS",1
99,S22,ARI,true,true,904.0,584.0,false,exitsignal,7,"02STARI",M17ARI,3
98,S32,ARI,true,false,904.0,460.0,false,exitsignal,7,"03STARI",M15ARI,3
107,S62,ARI,true,true,1482.0,584.0,false,controlblocksignal,4,"0612BTARI","0642BTARI",3
33,S01,KAS,false,false,1638.0,448.0,true,entrancesignal,6,"0201BTKAS","03MT-oKAS",1
34,S03,KAS,false,true,1638.0,583.0,true,entrancesignal,6,"0202BTKAS","01MT-oKAS",1
126,S04,DEM,true,true,226.0,583.0,true,entrancesignal,6,"0762BTDEM","04MT-oDEM",4
9,BS0082,KAS,true,false,270.0,460.0,false,blocksignal,3,"0051BTKAS","0081BTKAS",1
10,BS0084,KAS,true,true,270.0,586.0,false,blocksignal,3,"0052BTKAS","0082BTKAS",1
175,S22,KAR,true,false,1297.0,460.0,false,exitsignal,7,"02STKAR",M09KAR,5
61,S06,CUM,true,false,785.0,332.0,false,lowsignal,5,"06STCUM",M16CUM,2
7,BS0081,KAS,false,false,214.0,460.0,false,blocksignal,3,"0081BTKAS","0051BTKAS",1
113,BS0701,ARI,false,false,1974.0,460.0,false,blocksignal,3,"0701BTARI","0671BTARI",3
93,S41,ARI,false,false,677.0,396.0,false,lowsignal,5,"04STARI",M12ARI,3
94,S31,ARI,false,false,680.0,460.0,false,exitsignal,7,"03STARI",M12ARI,3
95,S21,ARI,false,true,680.0,584.0,false,exitsignal,7,"02STARI",M10ARI,3
96,S11,ARI,false,true,679.0,648.0,false,lowsignal,5,"01STARI",M10ARI,3
12,BS0113,KAS,false,true,326.0,584.0,false,blocksignal,3,"0112BTKAS","0082BTKAS",1
16,BS0143,KAS,false,true,438.0,584.0,false,blocksignal,3,"0142BTKAS","0112BTKAS",1
44,BS0293,KAS,false,true,1978.0,584.0,false,blocksignal,3,"0292BTCUM","0262BTKAS",1
38,BS0234,KAS,true,true,1812.0,584.0,false,blocksignal,3,"0202BTKAS","0232BTKAS",1
25,S21,KAS,false,true,950.0,584.0,false,exitsignal,7,"02STKAS",M12KAS,1
26,S11,KAS,false,true,947.0,648.0,false,lowsignal,5,"01STKAS",M12KAS,1
84,BS0533,ARI,false,true,58.0,584.0,false,blocksignal,3,"0532BTARI","0502BTARI",3
88,BS0573,ARI,false,true,170.0,584.0,false,blocksignal,3,"0572BTARI","0532BTARI",3
117,BS0731,ARI,false,false,2086.0,460.0,false,blocksignal,3,"0731BTDEM","0701BTARI",3
37,BS0232,KAS,true,false,1812.0,460.0,false,blocksignal,3,"0201BTKAS","0231BTKAS",1
6,BS0054,KAS,true,true,158.0,584.0,false,blocksignal,3,"0022BTKAS","0052BTKAS",1
138,KBS0833,DEM,false,true,972.0,583.0,true,controlblocksignal,4,"0832BTDEM","0802BTDEM",4
119,BS0732,DEM,true,false,2.0,460.0,false,blocksignal,3,"0701BTARI","0731BTDEM",4
104,KBS0641,ARI,false,false,1426.0,448.0,true,controlblocksignal,4,"0641BTARI","0611BTARI",3
176,S12,KAR,true,true,1408.0,584.0,false,exitsignal,7,"01STKAR",M05KAR,5
139,BS0832,DEM,true,false,1028.0,460.0,false,blocksignal,3,"0801BTDEM","0831BTDEM",4
30,S32,KAS,true,false,1304.0,460.0,false,exitsignal,7,"03STKAS",M07KAS,1
165,S61,KAR,false,true,573.0,584.0,false,exitsignal,7,"06STKAR",M08KAR,5
161,S02,KAR,true,false,338.0,448.0,true,entrancesignal,6,"0971BTKAR","04MT-oKAR",5
4,BS0053,KAS,false,true,102.0,584.0,false,blocksignal,3,"0052BTKAS","0022BTKAS",1
121,BS0761,DEM,false,false,58.0,460.0,false,blocksignal,3,"0761BTDEM","0731BTDEM",4
171,S62,KAR,true,true,923.0,583.0,true,lowsignal,5,"06STKAR",M18KAR,5
42,BS0264,KAS,true,true,1924.0,584.0,false,blocksignal,3,"0232BTKAS","0262BTKAS",1
128,S21,DEM,false,false,480.0,460.0,false,exitsignal,7,"02STDEM",M06DEM,4
41,BS0262,KAS,true,false,1924.0,460.0,false,blocksignal,3,"0231BTKAS","0261BTKAS",1
127,S11,DEM,false,false,477.0,396.0,false,lowsignal,5,"01STDEM",M06DEM,4
150,BS0913,DEM,false,true,1308.0,584.0,false,blocksignal,3,"0912BTKAR","0882BTDEM",4
15,BS0141,KAS,false,false,438.0,460.0,false,blocksignal,3,"0141BTKAS","0111BTKAS",1
168,S31,KAR,false,false,966.0,396.0,false,exitsignal,7,"03STKAR",M14KAR,5
8,BS0083,KAS,false,true,214.0,586.0,false,blocksignal,3,"0082BTKAS","0052BTKAS",1
43,BS0291,KAS,false,false,1978.0,460.0,false,blocksignal,3,"0291BTCUM","0261BTKAS",1
40,BS0263,KAS,false,true,1868.0,584.0,false,blocksignal,3,"0262BTKAS","0232BTKAS",1
39,BS0261,KAS,false,false,1868.0,460.0,false,blocksignal,3,"0261BTKAS","0231BTKAS",1
65,S21,CUM,false,true,789.0,584.0,false,exitsignal,7,"02STCUM",M14CUM,2
51,BS0361,CUM,false,false,170.0,460.0,false,blocksignal,3,"0361BTCUM","0321BTCUM",2
46,BS0294,CUM,true,true,2.0,584.0,false,blocksignal,3,"0262BTKAS","0292BTCUM",2
47,BS0321,CUM,false,false,58.0,460.0,false,blocksignal,3,"0321BTCUM","0291BTCUM",2
53,BS0362,CUM,true,false,226.0,460.0,false,blocksignal,3,"0321BTCUM","0361BTCUM",2
49,BS0322,CUM,true,false,114.0,460.0,false,blocksignal,3,"0291BTCUM","0321BTCUM",2
154,BS0943,KAR,false,true,58.0,584.0,false,blocksignal,3,"0942BTKAR","0912BTKAR",5
153,BS0941,KAR,false,false,58.0,460.0,false,blocksignal,3,"0941BTKAR","0911BTKAR",5
157,BS0971,KAR,false,false,170.0,460.0,false,blocksignal,3,"0971BTKAR","0941BTKAR",5
166,S51,KAR,false,false,899.0,266.0,false,lowsignal,5,"05STKAR",M12KAR,5
45,BS0292,CUM,true,false,2.0,460.0,false,blocksignal,3,"0261BTKAS","0291BTCUM",2
106,BS0642,ARI,true,false,1482.0,460.0,false,blocksignal,3,"0611BTARI","0641BTARI",3
155,BS0942,KAR,true,false,114.0,460.0,false,blocksignal,3,"0911BTKAR","0941BTKAR",5
